S No,Village LGD Code,Village Name (In English),Village Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Government Order,View Details,View History,View Map
2145,13850,Kohan (199),कौहण (199),Tihra(Sub-District) / Mandi(District) / Himachal Pradesh(State),00701800,013850,N,,,,
2146,13236,Kohra (51),कोहरा (51),Jogindarnagar(Sub-District) / Mandi(District) / Himachal Pradesh(State),00640400,013236,N,,,,
2147,13582,Kolang (185),कोलंग (185),Lad Bharol(Sub-District) / Mandi(District) / Himachal Pradesh(State),00675000,013582,N,,,,
2148,14098,Kolni (410),कोलनी (410),Dhalwan(Sub-District) / Mandi(District) / Himachal Pradesh(State),00726600,014098,N,,,,
2149,13622,Koon (13),कून (13),Sandhol(Sub-District) / Mandi(District) / Himachal Pradesh(State),00679000,013622,N,,,,
2150,15584,Koon (256),कून (256),Nihri(Sub-District) / Mandi(District) / Himachal Pradesh(State),00875200,015584,N,,,,
2151,15801,Koot (543),कूट (543),Karsog(Sub-District) / Mandi(District) / Himachal Pradesh(State),00896900,015801,N,,,,
2152,13050,Kortang (465),कोरतंग (465),Padhar(Sub-District) / Mandi(District) / Himachal Pradesh(State),00621800,013050,N,,,,
2153,13664,Kot (109),कोट (109),Dharmpur(Sub-District) / Mandi(District) / Himachal Pradesh(State),00683200,013664,N,,,,
2154,15999,Kot (114),कोट (114),Bagshad(Sub-District) / Mandi(District) / Himachal Pradesh(State),00916700,015999,N,,,,
2155,16044,Kot (145),कोट (145),Bagshad(Sub-District) / Mandi(District) / Himachal Pradesh(State),00921200,016044,N,,,,
2156,15426,Kot (151),कोट (151),Chachyot(Sub-District) / Mandi(District) / Himachal Pradesh(State),00859400,015426,N,,,,
2157,16054,Kot (169),कोट (169),Bagshad(Sub-District) / Mandi(District) / Himachal Pradesh(State),00922200,016054,N,,,,
2158,13824,Kot (187),कोट (187),Tihra(Sub-District) / Mandi(District) / Himachal Pradesh(State),00699200,013824,N,,,,
2159,15911,Kot (227),कोट (227),Pangna(Sub-District) / Mandi(District) / Himachal Pradesh(State),00907900,015911,N,,,,
2160,15583,Kot (254),कोट (254),Nihri(Sub-District) / Mandi(District) / Himachal Pradesh(State),00875100,015583,N,,,,
2161,14713,Kot (275),कोट (275),Balh(Sub-District) / Mandi(District) / Himachal Pradesh(State),00788100,014713,N,,,,
2162,14773,Kot (305),कोट (305),Mandi(Sub-District) / Mandi(District) / Himachal Pradesh(State),00794100,014773,N,,,,
2163,16169,Kot (326),कोट (326),Karsog(Sub-District) / Mandi(District) / Himachal Pradesh(State),00933700,016169,N,,,,
2164,16137,Kot (361),कोट (361),Karsog(Sub-District) / Mandi(District) / Himachal Pradesh(State),00930500,016137,N,,,,
2165,13072,Kot (376),कोट (376),Padhar(Sub-District) / Mandi(District) / Himachal Pradesh(State),00624000,013072,N,,,,
2166,15634,Kot (45),कोट (45),Nihri(Sub-District) / Mandi(District) / Himachal Pradesh(State),00880200,015634,N,,,,
2167,13746,Kot (5),कोट (5),Kotli(Sub-District) / Mandi(District) / Himachal Pradesh(State),00691400,013746,N,,,,
2168,14189,Kot (548),कोट (548),Baldwara(Sub-District) / Mandi(District) / Himachal Pradesh(State),00735700,014189,N,,,,
2169,16322,Kot (567),कोट (567),Karsog(Sub-District) / Mandi(District) / Himachal Pradesh(State),00949000,016322,N,,,,
2170,14516,Kot (65),कोट (65),Mandi(Sub-District) / Mandi(District) / Himachal Pradesh(State),00768400,014516,N,,,,
2171,14839,Kota Dhar (520),कोटाधार (520),Aut(Sub-District) / Mandi(District) / Himachal Pradesh(State),00800700,014839,N,,,,
2172,14860,Kot Dhalyas (465),कोटढलयास (465),Aut(Sub-District) / Mandi(District) / Himachal Pradesh(State),00802800,014860,N,,,,
2173,13848,Kot Gadohal (198),कोट गदोहल (198),Tihra(Sub-District) / Mandi(District) / Himachal Pradesh(State),00701600,013848,N,,,,
2174,14610,Kothi (150),कोठी (150),Rewalsar(Sub-District) / Mandi(District) / Himachal Pradesh(State),00777800,014610,N,,,,
2175,13569,Kothi (214),कोठी (214),Lad Bharol(Sub-District) / Mandi(District) / Himachal Pradesh(State),00673700,013569,N,,,,
2176,13901,Kothi (263),कोठी (263),Sarkaghat(Sub-District) / Mandi(District) / Himachal Pradesh(State),00706900,013901,N,,,,
2177,14037,Kothi (336),कोठी  (336),Bhadrota(Sub-District) / Mandi(District) / Himachal Pradesh(State),00718800,014037,N,,,,
2178,14553,Kothi Gaihri (101),कोठी गैहरी (101),Rewalsar(Sub-District) / Mandi(District) / Himachal Pradesh(State),00772100,014553,N,,,,
2179,15910,Kothu (186),कोठू (186),Pangna(Sub-District) / Mandi(District) / Himachal Pradesh(State),00907800,015910,N,,,,
2180,13599,Kothuwan (39),कोठुआं (39),Sandhol(Sub-District) / Mandi(District) / Himachal Pradesh(State),00676700,013599,N,,,,
2181,16178,Koti (321),कोटी (321),Karsog(Sub-District) / Mandi(District) / Himachal Pradesh(State),00934600,016178,N,,,,
2182,15980,Kotkapdyas (117),कोटकपडयास (117),Bagshad(Sub-District) / Mandi(District) / Himachal Pradesh(State),00914800,015980,N,,,,
2183,14349,Kotla (119),कोटला (119),Sundarnagar(Sub-District) / Mandi(District) / Himachal Pradesh(State),00751700,014349,N,,,,
2184,14362,Kotla (131),कोटला (131),Sundarnagar(Sub-District) / Mandi(District) / Himachal Pradesh(State),00753000,014362,N,,,,
2185,15956,Kotla (182),कोटला (182),Bagshad(Sub-District) / Mandi(District) / Himachal Pradesh(State),00912400,015956,N,,,,
2186,16056,Kotla (246),कोटला (246),Bagshad(Sub-District) / Mandi(District) / Himachal Pradesh(State),00922400,016056,N,,,,
2187,15373,Kotla Khanula (116),कोटला खनूला (116),Chachyot(Sub-District) / Mandi(District) / Himachal Pradesh(State),00854100,015373,N,,,,
2188,13776,Kotli (74),कोटली (74),Kotli(Sub-District) / Mandi(District) / Himachal Pradesh(State),00694400,013776,N,,,,
2189,14369,Kotlu (117),कोटलू (117),Sundarnagar(Sub-District) / Mandi(District) / Himachal Pradesh(State),00753700,014369,N,,,,
2190,14628,Kotlu (191),कोटलू (191),Balh(Sub-District) / Mandi(District) / Himachal Pradesh(State),00779600,014628,N,,,,
2191,15768,Kotlu (266),कोटलू (266),Pangna(Sub-District) / Mandi(District) / Himachal Pradesh(State),00893600,015768,N,,,,
2192,13962,Kotlu (372),कोटलू (372),Sarkaghat(Sub-District) / Mandi(District) / Himachal Pradesh(State),00717000,013962,N,,,,
