S No,Village LGD Code,Village Name (In English),Village Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Government Order,View Details,View History,View Map
503,23212,Katli Karliya (108),काटली कारलिया (108),Nahan(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01628000,023212,N,,,,
504,22564,Katogra Chamechi (74),कटोगड़ाचमैंची (74),Rajgarh(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01563200,022564,N,,,,
505,23129,Katorar (64),कटोरड़ (64),Nahan(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01619700,023129,N,,,,
506,23259,Katwari Baghrat (170),कटवाडी बागड़त (170),Dadahu(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01632700,023259,N,,,,
507,22955,Katyana Serta (207),कत्याना सेरटा (207),Pachhad(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01602300,022955,N,,,,
508,23157,Kaulanwala Bhud (128),कौलांवाला भुंड (128),Nahan(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01622500,023157,N,,,,
509,22824,Kawkhi Khangog (351),कावखी खंगोग (351),Narag(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01589200,022824,N,,,,
510,23316,Kedarpur (119),केदारपुर (119),Paonta Sahib(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01638400,023316,N,,,,
511,22921,Kehnal Sadhana (235),केहनल सढ़ाना (235),Pachhad(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01598900,022921,N,,,,
512,23377,Kerka (44),केरका (44),Paonta Sahib(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01644000,023377,N,,,,
513,23176,Khairi (137),खैरी (137),Nahan(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01624400,023176,N,,,,
514,23078,Khairi Chaingan (79),खेरी चैगन (79),Dadahu(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01614700,023078,N,,,,
515,23187,Khajurna (119),खजूरना (119),Nahan(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01625500,023187,N,,,,
516,22885,Khal (151),खाल (151),Pachhad(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01595300,022885,N,,,,
517,23028,Khala Kyar (205),खाला क्यार (205),Dadahu(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01609600,023028,N,,,,
518,23247,Khali Achhaun (83),खाली अच्छोन (83),Paonta Sahib(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01631500,023247,N,,,,
519,22727,Khalog (399),खलोग (399),Pachhad(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01579500,022727,N,,,,
520,22903,Khanagan (190),खनागंण (190),Pachhad(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01597100,022903,N,,,,
521,23116,Khanda Sanwra (9),खान्दा सावडा (9),Nahan(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01618400,023116,N,,,,
522,22519,Khaniur Nar Mela (18),खन्यूड नाड़ मेला (18),Pajhota(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01558700,022519,N,,,,
523,23051,Khano Khanani (62),खानो खनानी (62),Dadahu(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01612000,023051,N,,,,
524,22978,Kharahan (139),खडाहॉ (139),Haripurdhar(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01604600,022978,N,,,,
525,23470,Kharkan (180),खड़काँह (180),Ronhat(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01653300,023470,N,,,,
526,22980,Kharotiyon (140),खरोटियों (140),Haripurdhar(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01604800,022980,N,,,,
527,22891,Khaska Dingar (181),खस्का ड़िगर (181),Pachhad(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01595900,022891,N,,,,
528,22663,Kheri Banahal (14),खैरी वनाहल (14),Nohra(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01573100,022663,N,,,,
529,22747,Kheri Shalyar (285),खैरी शलयार (285),Pachhad(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01581500,022747,N,,,,
530,23383,Khodri Parmanand (52),खोदरी परमानन्द (52),Paonta Sahib(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01644600,023383,N,,,,
531,22802,Khojar Nadab (370),खोजर नाड़ब (370),Pachhad(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01587000,022802,N,,,,
532,23217,Khudu Balahar (98),खुडू बलाहर (98),Nahan(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01628500,023217,N,,,,
533,23417,Khuenal Salag (25),खुईनल सालग (25),Kamrau(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01648000,023417,N,,,,
534,23015,Khur (94),खूड़ (94),Dadahu(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01608300,023015,N,,,,
535,23113,Kiari (5),क्यारी (5),Nahan(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01618100,023113,N,,,,
536,22860,Kilab Sitwar (179),किलब सितवर (179),Pachhad(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01592800,022860,N,,,,
