S No,Village LGD Code,Village Name (In English),Village Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Government Order,View Details,View History,View Map
362,937640,Reserve Jungle Kais Khanehar,रिजर्व जंगल काईस खनेहड,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
363,937630,Reserve Jungle Karadsu Khanehar,रिजर्व जंगल कराडसू खनेहड,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
364,937686,Reserve Jungle Pechha Kandi,रिजर्व जंगल पेच्छा कण्डी,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
365,937631,Reserve Jungle Raugi Nal,रिजर्व जंगल राऊगी नाल,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
366,937633,Reserve Jungle Ronguri Bag,रिजर्व जंगल रौंगु री बाग,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
367,937626,Reserve Jungle Seobag - I,रिजर्व जंगल सेऊबाग-1,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,eSignGOFile662648_20_02_2025_11_42_50.pdf,,,
368,12702,Riyara (22/30),रियाड़ा (22/30),Manali(Sub-District) / Kullu(District) / Himachal Pradesh(State),00598900,012702,N,,,,
369,937655,Ropari,रोपड़ी,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
370,12801,Ropa Seri,रोपा सेरी,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00601200,012801,N,,,,
371,12892,Rote-2 (42/107),रोट-2 (42/107),Bhuntar(Sub-District) / Kullu(District) / Himachal Pradesh(State),00606100,012892,N,,,,
372,12899,Rote-I (42/107),रोट-I  (42/107),Sainj(Sub-District) / Kullu(District) / Himachal Pradesh(State),00606700,012899,N,,,,
373,12742,Rumsu,रूमसू,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00600100,012742,N,,,,
374,12766,Runga-I,रूंगा-1,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00600600,012766,N,,,,
375,12767,Runga-II,रूंगा-2,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00600600,012767,N,,,,
376,12717,Sajla (23/39),सज़ला (23/39),Manali(Sub-District) / Kullu(District) / Himachal Pradesh(State),00599600,012717,N,,,,
377,12718,Sajla Vihal,सज़ला विहाल,Manali(Sub-District) / Kullu(District) / Himachal Pradesh(State),00599600,012718,N,,,,
