S No,Village LGD Code,Village Name (In English),Village Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Government Order,View Details,View History,View Map
92,24640,Bagoloo,बगोलू,Shimla ( Rural )(Sub-District) / Shimla(District) / Himachal Pradesh(State),01764700,024640,N,,,,
93,24639,Bagoloo (37),बगोलू (37),Shimla ( Rural )(Sub-District) / Shimla(District) / Himachal Pradesh(State),01764700,024639,N,,,,
94,25025,Bagon Sandhu (152),बागो संधू(152),Theog(Sub-District) / Shimla(District) / Himachal Pradesh(State),01799300,025025,N,,,,
95,24644,Bagora Khurd (38),बगोरा खुर्द (38),Shimla ( Rural )(Sub-District) / Shimla(District) / Himachal Pradesh(State),01765000,024644,N,,,,
96,25166,Bagoti (223),बगोटी(223),Theog(Sub-District) / Shimla(District) / Himachal Pradesh(State),01813200,025166,N,,,,
97,25111,Bagra (320),बागड़ा(320),Theog(Sub-District) / Shimla(District) / Himachal Pradesh(State),01807800,025111,N,,,,
98,25198,Bagra (366),बागड़ा(366),Theog(Sub-District) / Shimla(District) / Himachal Pradesh(State),01816200,025198,N,,,,
99,26291,Bagra -I (168),बागडा-1(168),Kotkhai(Sub-District) / Shimla(District) / Himachal Pradesh(State),01905000,026291,N,,,,
100,26286,Bagra-II(142),बागडा-2(142),Kotkhai(Sub-District) / Shimla(District) / Himachal Pradesh(State),01904500,026286,N,,,,
101,24179,Bagri (36),बागड़ी(36),Jalog(Sub-District) / Shimla(District) / Himachal Pradesh(State),01724200,024179,N,,,,
102,25292,Bagri (38),बागडी (38),Deha(Sub-District) / Shimla(District) / Himachal Pradesh(State),01824600,025292,N,,,,
103,24744,Bagthal (253),बगथल(253),Shimla ( Rural )(Sub-District) / Shimla(District) / Himachal Pradesh(State),01774700,024744,N,,,,
104,23880,Bagthal (90),बगथल(90),Kumarsain(Sub-District) / Shimla(District) / Himachal Pradesh(State),01694300,023880,N,,,,
105,23801,Bahali (64),बाहली(64),Nankhari(Sub-District) / Shimla(District) / Himachal Pradesh(State),01686400,023801,N,,,,
106,26515,Bahali(80),बाहली(80),Rohru(Sub-District) / Shimla(District) / Himachal Pradesh(State),01926000,026515,N,,,,
107,25505,Bahal Khas (95),बाहल खास(95),Chaupal(Sub-District) / Shimla(District) / Himachal Pradesh(State),01840500,025505,N,,,,
108,25233,Bahani (382),बाहणी(382),Theog(Sub-District) / Shimla(District) / Himachal Pradesh(State),01819700,025233,N,,,,
109,24229,Bahkyar(1),बैक्यार(1),Dhami(Sub-District) / Shimla(District) / Himachal Pradesh(State),01729200,024229,N,,,,
110,23679,Bahli (136/1),बाहली(136/1),Taklech(Sub-District) / Shimla(District) / Himachal Pradesh(State),01674300,023679,N,,,,
111,23633,Bahli (185),बाहली(185),Taklech(Sub-District) / Shimla(District) / Himachal Pradesh(State),01669700,023633,N,,,,
112,26566,Bahli (38),वाहली (38),Chirgaon(Sub-District) / Shimla(District) / Himachal Pradesh(State),01931100,026566,N,,,,
113,23909,Bahli (9),बाहली(9),Kotgarh(Sub-District) / Shimla(District) / Himachal Pradesh(State),01697200,023909,N,,,,
114,24852,Bahli Khanlog (141),बाहली खनलोग (141),Junga(Sub-District) / Shimla(District) / Himachal Pradesh(State),01785000,024852,N,,,,
115,24093,Bai(141),बैई(141),Sunni(Sub-District) / Shimla(District) / Himachal Pradesh(State),01715600,024093,N,,,,
116,23865,Bai (97),बैई(97),Kumarsain(Sub-District) / Shimla(District) / Himachal Pradesh(State),01692800,023865,N,,,,
117,24480,Bain (388),बौन (388),Shimla ( Rural )(Sub-District) / Shimla(District) / Himachal Pradesh(State),01751400,024480,N,,,,
118,24901,Bainla (200),बांईला(200),Theog(Sub-District) / Shimla(District) / Himachal Pradesh(State),01789700,024901,N,,,,
119,25096,Bainla Jandrori (323),बांईला जन्दरौड़ी(323),Theog(Sub-District) / Shimla(District) / Himachal Pradesh(State),01806300,025096,N,,,,
120,24240,Bainsh (15),बैंश (15),Dhami(Sub-District) / Shimla(District) / Himachal Pradesh(State),01730300,024240,N,,,,
121,24189,Bairty (91),बैरटी(91),Sunni(Sub-District) / Shimla(District) / Himachal Pradesh(State),01725200,024189,N,,,,
122,25905,Bajah (152),बजाह(152),Nerwa(Sub-District) / Shimla(District) / Himachal Pradesh(State),01871200,025905,N,,,,
123,26425,Bajeshal (1),बजैशल(1),Rohru(Sub-District) / Shimla(District) / Himachal Pradesh(State),01917100,026425,N,,,,
124,25144,Bajheog(284),बझैवग(284),Theog(Sub-District) / Shimla(District) / Himachal Pradesh(State),01811000,025144,N,,,,
125,24043,Bajhol (157),बझोल(157),Dhami(Sub-District) / Shimla(District) / Himachal Pradesh(State),01710600,024043,N,,,,
126,24309,Bajholiya (61),बझोलिया (61),Shimla ( Rural )(Sub-District) / Shimla(District) / Himachal Pradesh(State),01736000,024309,N,,,,
127,25121,Bajhowa (293),बजोआ(293),Theog(Sub-District) / Shimla(District) / Himachal Pradesh(State),01808800,025121,N,,,,
128,24260,Bajhyar (27),भज्याड (27),Dhami(Sub-District) / Shimla(District) / Himachal Pradesh(State),01732300,024260,N,,,,
129,26249,Bajoha (81),बजोहा(81),Kotkhai(Sub-District) / Shimla(District) / Himachal Pradesh(State),01901600,026249,N,,,,
130,25418,Bajroth (36),बजरौँठ(36),Chaupal(Sub-District) / Shimla(District) / Himachal Pradesh(State),01835200,025418,N,,,,
