S No,Village LGD Code,Village Name (In English),Village Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Government Order,View Details,View History,View Map
442,17352,Chhatrial (45/64),छत्रैल (45/64),Tauni Devi Bamson(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01050500,017352,N,,,,
443,16799,Chhatriala (24/30),छतडयाला (24/30),Nadaun(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01004900,016799,N,,,,
444,16456,Chhat Ruhru (61/4),छतरुडू (61/4),Tira Sujanpur(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),00962400,016456,N,,,,
445,17992,Chhattar Kalan (43/26),छतर कलां (43/26),Bhoranj(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01110700,017992,N,,,,
446,17994,Chhattar Khurd (43/10),छतरखुर्द (43/10),Bhoranj(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01110900,017994,N,,,,
447,17581,Chhek (40/32),छेक (40/32),Bhota(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01072700,017581,N,,,,
448,17376,Chheorin (45/78),छियोडी (45/78),Lambloo(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01053500,017376,N,,,,
449,17622,Chhorab (41/12),छोडव (41/12),Bhota(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01076400,017622,N,,,,
450,17796,Chhoun (44/35),छौं (44/35),Tauni Devi Bamson(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01091100,017796,N,,,,
451,16444,Chhounti (60/2),छौंटी (60/2),Tira Sujanpur(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),00961200,016444,N,,,,
452,17408,Chhuchhwin (30/1),छुछवी (30/1),Barsar(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01056700,017408,N,,,,
453,17120,Chigar (49/13),चिगड (49/13),Hamirpur(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01025500,017120,N,,,,
454,16695,Chilbahal (20/10),चिलबाहल (20/10),Kangoo(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),00985900,016695,N,,,,
455,16667,Chilli (20/28),चिल्ली (20/28),Nadaun(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),00983100,016667,N,,,,
456,17632,Choa (41/24),चोआ (41/24),Bhota(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01077400,017632,N,,,,
457,16881,Choaa (23/13),चौआ (23/13),Nadaun(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01013100,016881,N,,,,
458,16877,Choachakrala (23/11),चौआ चकराला (23/11),Nadaun(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01012700,016877,N,,,,
459,16725,Chobhu (25/4),चौभू (25/4),Kangoo(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),00997600,016725,N,,,,
460,17273,Choukar (42/27),चौकड (42/27),Hamirpur(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01042500,017273,N,,,,
461,17277,Chountra (42/14),चौन्तडा (42/14),Hamirpur(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01042900,017277,N,,,,
462,17882,Chountra (44/62),चौंतरा (44/62),Bhoranj(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01099700,017882,N,,,,
463,16722,Chowk (25/41),चौक (25/41),Kangoo(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),00997300,016722,N,,,,
464,17754,Chowki (34/39),चौकी (34/39),Dhatwal(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01087800,017754,N,,,,
465,17095,Chowki (49/10),चौकी (49/10),Hamirpur(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01023100,017095,N,,,,
466,17080,Chowki (51/3),चौकी (51/3),Hamirpur(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01021600,017080,N,,,,
467,17138,Chowki (52/4),चौकी (52/4),Hamirpur(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01027300,017138,N,,,,
468,16723,Chowki Rajputan (25/37),चौकी राजपूता (25/37),Kangoo(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),00997400,016723,N,,,,
469,17598,Chuan (40/42),चुआण (40/42),Bhota(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01074200,017598,N,,,,
470,17504,Chukhiniar (33/28),चुखन्यार (33/28),Barsar(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01066000,017504,N,,,,
471,16897,Chuthiar (24/35),चुठियार (24/35),Nadaun(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01014700,016897,N,,,,
472,16839,Dabbar (21/25),डव्वर (21/25),Nadaun(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01008900,016839,N,,,,
473,16861,Dabbar Patta (22/9),डब्बर पट्टा (22/9),Nadaun(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01011100,016861,N,,,,
474,17094,Dabhun (50/11),डंभू (50/11),Hamirpur(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01023000,017094,N,,,,
475,16872,Dabkehr (23/4),दबकेहड (23/4),Nadaun(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01012200,016872,N,,,,
476,17782,Daboh (44/13),डबोह (44/13),Tauni Devi Bamson(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01089700,017782,N,,,,
477,17773,Dabrera (45/48),डबरेहडा (45/48),Lambloo(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01052300,017773,N,,,,
478,16890,Dadhwalkar (24/36),डडबालखर (24/36),Nadaun(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01014000,016890,N,,,,
479,16837,Dadlu (21/18),डडलू (21/18),Nadaun(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01008700,016837,N,,,,
480,16953,Dadoh (47/17),डडोह (47/17),Galore(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),00993700,016953,N,,,,
481,17828,Dadu (43/88),डाडू (43/88),Bhoranj(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01094300,017828,N,,,,
482,16936,Dagoh (36/15),ढगोह (36/15),Galore(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),00992000,016936,N,,,,
483,17539,Dagol (35/10),ड्गोल (35/10),Barsar(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01069200,017539,N,,,,
484,17193,Daguhara (37/6),डगूहडा (37/6),Hamirpur(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01032800,017193,N,,,,
485,16806,Dahal (24/5),दाहल (24/5),Nadaun(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01005600,016806,N,,,,
486,17617,Dain (41/26),दैण (41/26),Bhota(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01075900,017617,N,,,,
487,17800,Dakehra (44/38),डकेहडा (44/38),Tauni Devi Bamson(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01091500,017800,N,,,,
488,16573,Dakhrun (19/5),ठकरू  (19/5),Nadaun(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),00974100,016573,N,,,,
489,17739,Dakhyora (34/56),दख्योड़ा (34/56),Dhatwal(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01086300,017739,N,,,,
490,17192,Dakohal (37/26),डकोहल (37/26),Hamirpur(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01032600,017192,N,,,,
491,17845,Dalalar (43/80),दलारड (43/80),Bhoranj(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01096000,017845,N,,,,
492,17673,Dalchehra (34/4),दलचेहड़ा (34/4),Dhatwal(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01081000,017673,N,,,,
493,16557,Dalohal (19/13),डलोहल (19/13),Nadaun(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),00972600,016557,N,,,,
494,17076,Dalwana Brahmana (51/15),डलवाना ब्राहमणां (52/15),Hamirpur(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01021300,017076,N,,,,
495,17077,Dalwana Gujaran (51/14),डलवाना गुजरां (51/14),Hamirpur(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01021400,017077,N,,,,
