S No,Sub-District LGD Code,Sub-District Name (In English),Sub-District Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Details,View History,View Government Order,View Map
181,6883,Tauni Devi Bamson,,Hamirpur(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
182,7286,Telka,,Chamba(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
183,7184,Thachi,Thachi,Mandi(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
184,7289,Thakurdwara,,Kangra(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
185,184,Theog,,Shimla(District) / Himachal Pradesh(State),8,00184,Not Covered,,,,
186,136,Thunag,,Mandi(District) / Himachal Pradesh(State),13,00136,Not Covered,,,,
187,108,Thural,,Kangra(District) / Himachal Pradesh(State),14,00108,Not Covered,,,,
188,6946,Tihra,,Mandi(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
189,190,Tikar,,Shimla(District) / Himachal Pradesh(State),14,00190,Not Covered,,,,
190,6948,Tikken,,Mandi(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
191,140,Tira Sujanpur,,Hamirpur(District) / Himachal Pradesh(State),1,00140,Not Covered,,,,
192,114,Udaipur,,Lahaul And Spiti(District) / Himachal Pradesh(State),1,00114,Not Covered,,,,
193,150,Una,,Una(District) / Himachal Pradesh(State),4,00150,Not Covered,,,,
